Timestamp,Step,Power,Result
2026-04-09T14:06:40.208840,1,-30,-73.032616633648
2026-04-09T14:06:40.313370,2,-30,-61.24560752535296
2026-04-09T14:06:40.417764,3,-30,-70.74519834306409
2026-04-09T14:06:40.521928,4,-30,-76.06316593065856
2026-04-09T14:06:40.627246,5,-30,-78.07642441978706
2026-04-09T14:06:40.732496,6,-30,-66.07826997047147
2026-04-09T14:06:40.836986,7,-30,-63.82066792990975
2026-04-09T14:06:40.942931,8,-30,-70.92963100637496
2026-04-09T14:06:41.048356,9,-30,-65.29210918889638
2026-04-09T14:06:41.153392,10,-30,-74.37969138593091
2026-04-09T14:06:41.157555,11,Noise,-67.70773938666773
2026-04-09T14:06:41.262720,12,Noise,-72.80928242908821
2026-04-09T14:06:41.367477,13,Noise,-62.05157559090593
2026-04-09T14:06:41.471762,14,Noise,-71.58455733448073
2026-04-09T14:06:41.577210,15,Noise,-67.85228151972383
2026-04-09T14:06:41.682167,16,Noise,-60.03742540159081
2026-04-09T14:06:41.787970,17,Noise,-69.0291686405103
2026-04-09T14:06:41.893421,18,Noise,-78.37601834491845
2026-04-09T14:06:41.998871,19,Noise,-64.8367110885277
2026-04-09T14:06:42.104350,20,Noise,-70.77731931303768
2026-04-09T14:22:48.948363,1,-30,-77.76329827342747
2026-04-09T14:22:49.053785,2,-30,-76.19582182269988
2026-04-09T14:22:49.159196,3,-30,-74.47281216635223
2026-04-09T14:22:49.264855,4,-30,-62.36412523565754
2026-04-09T14:22:49.370148,5,-30,-72.0437409593958
2026-04-09T14:22:49.475579,6,-30,-60.97783250968442
2026-04-09T14:22:49.581235,7,-30,-65.00843261811929
2026-04-09T14:22:49.686667,8,-30,-76.21417736702259
2026-04-09T14:22:49.792007,9,-30,-63.319658365372064
2026-04-09T14:22:49.896553,10,-30,-73.57477839939212
2026-04-09T14:22:49.900625,11,Noise,-79.76177640070284
2026-04-09T14:22:50.004823,12,Noise,-76.12547082329407
2026-04-09T14:22:50.109979,13,Noise,-73.78203776200247
2026-04-09T14:22:50.215322,14,Noise,-76.40932192488346
2026-04-09T14:22:50.320714,15,Noise,-71.16719621822853
2026-04-09T14:22:50.426618,16,Noise,-67.82142158305295
2026-04-09T14:22:50.532190,17,Noise,-70.17355414541741
2026-04-09T14:22:50.636619,18,Noise,-74.99243078279977
2026-04-09T14:22:50.741985,19,Noise,-74.49268196071927
2026-04-09T14:22:50.846432,20,Noise,-60.17136226725049
2026-04-09T13:57:31.057522,1,-30,-79.69800769807263
2026-04-09T13:57:31.161275,2,-30,-76.87422374774961
2026-04-09T13:57:31.267476,3,-30,-77.20989639368575
2026-04-09T13:57:31.373628,4,-30,-62.31101599372204
2026-04-09T13:57:31.479938,5,-30,-77.1868213321302
2026-04-09T13:57:31.586218,6,-30,-67.26745122908828
2026-04-09T13:57:31.692725,7,-30,-60.31398421329869
2026-04-09T13:57:31.799437,8,-30,-70.83323395843524
2026-04-09T13:57:31.905803,9,-30,-74.7028415241163
2026-04-09T13:57:32.012137,10,-30,-66.36063185650318
2026-04-09T13:57:32.019822,11,Noise,-68.62280134287158
2026-04-09T13:57:32.126455,12,Noise,-79.01521406276724
2026-04-09T13:57:32.234134,13,Noise,-70.31451284217121
2026-04-09T13:57:32.343024,14,Noise,-61.39141296853967
2026-04-09T13:57:32.450334,15,Noise,-67.98772170922373
2026-04-09T13:57:32.558978,16,Noise,-64.23557921244635
2026-04-09T13:57:32.666547,17,Noise,-64.31782279454292
2026-04-09T13:57:32.774220,18,Noise,-76.44536287170521
2026-04-09T13:57:32.881837,19,Noise,-68.74292389755902
2026-04-09T13:57:32.988647,20,Noise,-75.56034989108369
